"ICD-10-AM Code","ICD-10-AM Code Descriptor","ICD-10 Map","Field4"
"G40.70","Petit mal, unspecified, without grand mal seizures, without mention of intractable epilepsy","G40.7",
"G40.71","Petit mal, unspecified, without grand mal seizures, with intractable epilepsy","G40.7",
"G40.80","Other epilepsy, without mention of intractable eilepsy","G40.8",
"G40.81","Other epilepsy, with intractable eilepsy","G40.8",
"G40.90","Epilepsy, unspecified, without mention of intractable epilepsy","G40.9",
"G40.91","Epilepsy, unspecified, with intractable epilepsy","G40.9",
"G47.30","Sleep apnoea, unspecified","G47.3",
"G47.31","Central sleep apnoea syndrome","G47.3",
"G47.32","Obstructive sleep apnoea syndrome","G47.3",
"G47.33","Sleep hypoventilation syndrome","G47.3",
"G47.39","Other sleep apnoea","G47.3",
"G57.7","Causalgia of lower limb","G57.8",
"G58.1","Complex regional pain syndrome type I","G58.8",
"G58.10","Complex regional pain syndrome type I, unspecified site","G58.8",
"G58.11","Complex regional pain syndrome type I, upper limb","G58.8",
"G58.12","Complex regional pain syndrome type I, lower limb","G58.8",
"G58.19","Complex regional pain syndrome type I, other specified site","G58.8",
"G80.00","Spastic cerebral palsy, unspecified","G80.0",
"G80.01","Spastic diplegic cerebral palsy","G80.0",
"G80.02","Spastic hemiplegic cerebral palsy","G80.0",
"G80.03","Spastic quadriplegic cerebral palsy","G80.0",
"G80.09","Other spastic cerebral palsy","G80.0",
"G82.00","Flaccid paraplegia, unspecified","G82.0",
"G82.01","Flaccid paraplegia, unspecified, acute","G82.0",
"G82.02","Flaccid paraplegia, unspecified, chronic","G82.0",
"G82.03","Flaccid paraplegia, complete, acute","G82.0",
"G82.04","Flaccid paraplegia, complete, chronic","G82.0",
"G82.05","Flaccid paraplegia, incomplete, acute","G82.0",
"G82.06","Flaccid paraplegia, incomplete, chronic","G82.0",
"G82.10","Spastic paraplegia, unspecified","G82.1",
"G82.11","Spastic paraplegia, unspecified, acute","G82.1",
"G82.12","Spastic paraplegia, unspecified chronic","G82.1",
"G82.13","Spastic paraplegia, complete, acute","G82.1",
"G82.14","Spastic paraplegia, complete, chronic","G82.1",
"G82.15","Spastic paraplegia, incomplete, acute","G82.1",
"G82.16","Spastic paraplegia, incomplete, chronic","G82.1",
"G82.20","Paraplegia, unspecified, unspecified","G82.2",
"G82.21","Paraplegia, unspecified, acute","G82.2",
"G82.22","Paraplegia, unspecified, chronic","G82.2",
"G82.23","Paraplegia, unspecified, complete, acute","G82.2",
"G82.24","Paraplegia, unspecified, complete, chronic","G82.2",
"G82.25","Paraplegia, unspecified, incomplete, acute","G82.2",
"G82.26","Paraplegia, unspecified, incomplete, chronic","G82.2",
"G82.30","Flaccid tetraplegia, unspecified","G82.3",
"G82.31","Flaccid tetraplegia, unspecified, acute","G82.3",
"G82.32","Flaccid tetraplegia, unspecified, chronic","G82.3",
"G82.33","Flaccid tetraplegia, complete, acute","G82.3",
"G82.34","Flaccid tetraplegia, complete, chronic","G82.3",
"G82.35","Flaccid tetraplegia, incomplete, acute","G82.3",
"G82.36","Flaccid tetraplegia, incomplete, chronic","G82.3",
"G82.40","Spastic tetraplegia, unspecified","G82.4",
"G82.41","Spastic tetraplegia, unspecified, acute","G82.4",
"G82.42","Spastic tetraplegia, unspecified, chronic","G82.4",
"G82.43","Spastic tetraplegia, complete, acute","G82.4",
"G82.44","Spastic tetraplegia, complete, chronic","G82.4",
"G82.45","Spastic tetraplegia, incomplete, acute","G82.4",
"G82.46","Spastic tetraplegia, incomplete, chronic","G82.4",
"G82.50","Tetraplegia, unspecified, unspecified","G82.5",
"G82.51","Tetraplegia, unspecified, acute","G82.5",
"G82.52","Tetraplegia, unspecified, chronic","G82.5",
"G82.53","Tetraplegia, unspecified, complete, acute","G82.5",
"G82.54","Tetraplegia, unspecified, complete, chronic","G82.5",
"G82.55","Tetraplegia, unspecified, incomplete, acute","G82.5",
"G82.56","Tetraplegia, unspecified, incomplete, chronic","G82.5",
"H59.81","Cystoid macula oedema following cataract surgery","H59.8",
"H59.89","Other postprocedural disorders of eye and adnexa, not elsewhere classified","H59.8",
"I25.10","Atherosclerotic heart disease, of unspecified vessel","I25.1",
"I25.11","Atherosclerotic heart disease, of native coronary artery","I25.1",
"I25.12","Atherosclerotic heart disease, of autologous bypass graft","I25.1",
"I25.13","Atherosclerotic heart disease, of nonautologous bypass graft","I25.1",
"I70.20","Atherosclerosis of arteries of extremities, unspecified","I70.2",
"I70.21","Atherosclerosis of arteries of extremities with intermittent claudication","I70.2",
"I70.22","Atherosclerosis of arteries of extremities with rest pain","I70.2",
"I70.23","Atherosclerosis of arteries of extremities with ulceration","I70.2",
"I70.24","Atherosclerosis of arteries of extremities with gangrene","I70.2",
"I71.00","Dissection of aorta, unspecified site","I71.0",
"I71.01","Dissection of thoracic aorta","I71.0",
"I71.02","Dissection of abdominal aorta","I71.0",
"I71.03","Dissection of thoracoabdominal aorta","I71.0",
"J38.00","Paralysis of vocal cords and larynx, unspecified","J38.0",
"J38.01","Paralysis of vocal cords and larynx, unilateral, partial","J38.0",
"J38.02","Paralysis of vocal cords and larynx, unilateral, complete","J38.0",
"J38.03","Paralysis of vocal cords and larynx, bilateral, partial","J38.0",
"J38.04","Paralysis of vocal cords and larynx, bilateral, complete","J38.0",
"K08.81","Pathological fracture of tooth","K08.8",
"K08.88","Other specified disorders of teeth and supporting structures","K08.8",
"K31.81","Angiodysplasia of stomach and duodenum without mention of haemorrhage","K31.8",
"K31.82","Angiodysplasia of stomach and duodenum with haemorrhage","K31.8",
"K31.88","Other specified diseases of stomach and duodenum","K31.8",
"K40.00","Bilateral inguinal hernia, with obstruction, without gangrene, not specified as recurrent","K40.0",
"K40.01","Bilateral inguinal hernia, with obstruction, without gangrene, recurrent","K40.0",
"K40.10","Bilateral inguinal hernia, with gangrene, not specified as recurrent","K40.1",
"K40.11","Bilateral inguinal hernia, with gangrene, recurrent","K40.1",
"K40.20","Bilateral inguinal hernia, without obstruction or gangrene, not specified as recurrent","K40.2",
"K40.21","Bilateral inguinal hernia, without obstruction or gangrene, recurrent","K40.2",
"K40.30","Unilateral or unspecified inguinal hernia, with obstruction, without gangrene, not specified as recurrent","K40.3",
"K40.31","Unilateral or unspecified inguinal hernia, with obstruction, without gangrene, recurrent","K40.3",
"K40.40","Unilateral or unspecified inguinal hernia, with gangrene, not specified as recurrent","K40.4",
"K40.41","Unilateral or unspecified inguinal hernia, with gangrene, recurrent","K40.4",
"K40.90","Unilateral or unspecified inguinal hernia, without obstruction or gangrene, not specified as recurrent","K40.9",
"K40.91","Unilateral or unspecified inguinal hernia, without obstruction or gangrene, recurrent","K40.9",
"K55.21","Angiodysplasia of colon without mention of haemorrhage","K55.2",
"K55.22","Angiodysplasia of colon with haemorrhage","K55.2",
"K57.00","Diverticulosis of small intestine with perforation and abscess, without mention of haemorrhage","K57.0",
"K57.01","Diverticulosis of small intestine with haemorrhage, perforation and abscess","K57.0",
"K57.02","Diverticulitis of small intestine with perforation and abscess, without mention of haemorrhage","K57.0",
"K57.03","Diverticulitis of small intestine with haemorrhage, perforation and abscess","K57.0",
"K57.10","Diverticulosis of small intestine, without perforation, abscess or mention of haemorrhage","K57.1",
"K57.11","Diverticulosis of small intestine without perforation or abscess, with haemorrhage","K57.1",
"K57.12","Diverticulitis of small intestine without perforation, abscess or mention of haemorrhage","K57.1",
"K57.13","Diverticulitis of small intestine without perforation or abscess, with haemorrhage","K57.1",
"K57.20","Diverticulosis of large intestine with perforation and abscess, without mention of haemorrhage","K57.2",
"K57.21","Diverticulosis of large intestine with haemorrhage, perforation and abscess","K57.2",
"K57.22","Diverticulitis of large intestine with perforation and abscess, without mention of haemorrhage","K57.2",
"K57.23","Diverticulitis of large intestine with haemorrhage, perforation and abscess","K57.2",
"K57.30","Diverticulosis of large intestine without perforation, abscess or mention of haemorrhage","K57.3",
"K57.31","Diverticulosis of large intestine without perforation or abscess, with haemorrhage","K57.3",
"K57.32","Diverticulitis of large intestine without perforation, abscess or mention of haemorrhage","K57.3",
"K57.33","Diverticulitis of large intestine without perforation or abscess, with haemorrhage","K57.3",
"K57.40","Diverticulosis of both small and large intestine with perforation and abscess, without mention of haemorrhage","K57.4",
"K57.41","Diverticulosis of both small and large intestine with haemorrhage, perforation and abscess","K57.4",
"K57.42","Diverticulitis of both small and large intestine with perforation and abscess, without mention of haemorrhage","K57.4",
"K57.43","Diverticulitis of both small and large intestine with haemorrhage, perforation and abscess","K57.4",
"K57.50","Diverticulosis of both small and large intestine without perforation, abscess or mention of haemorrhage","K57.5",
"K57.51","Diverticulosis of both small and large intestine without perforation or abscess, with haemorrhage","K57.5",
"K57.52","Diverticulitis of both small and large intestine without perforation, abscess or mention of haemorrhage","K57.5",
"K57.53","Diverticulitis of both small and large intestine without perforation or abscess, with haemorrhage","K57.5",
"K57.80","Diverticulosis of intestine, part unspecified, with perforation and abscess without mention of haemorrhage","K57.8",
"K57.81","Diverticulosis of intestine, part unspecified, with haemorrhage, perforation and abscess","K57.8",
"K57.82","Diverticulitis of intestine, part unspecified, with perforation and abscess, without mention of haemorrhage","K57.8",
"K57.83","Diverticulitis of intestine, part unspecified, with haemorrhage, perforation and abscess","K57.8",
"K57.90","Diverticulosis of intestine, part unspecified, without perforation, abscess or mention of haemorrhage","K57.9",
"K57.91","Diverticulosis of intestine, part unspecified, without perforation or abscess, with haemorrhage","K57.9",
"K57.92","Diverticulitis of intestine, part unspecified, without perforation, abscess or mention of haemorrhage","K57.9",
"K57.93","Diverticulitis of intestine, part unspecified, without perforation or abscess, with haemorrhage","K57.9",
"K63.50","Polyp of colon, unspecified","K63.5",
"K63.51","Juvenile polyp of colon","K63.5",
"K63.58","Other polyp of colon","K63.5",
"K80.00","Calculus of gallbladder with acute cholecystitis, without mention of obstruction","K80.0",
"K80.01","Calculus of gallbladder with acute cholecystitis, with obstruction","K80.0",
"K80.10","Calculus of gallbladder with other cholecystitis, without mention of obstruction","K80.1",
"K80.11","Calculus of gallbladder with other cholecystitis, with obstruction","K80.1",
"K80.20","Calculus of gallbladder without cholecystitis, without mention of obstruction","K80.2",
"K80.21","Calculus of gallbladder without cholecystitis, with obstruction","K80.2",
"K80.30","Calculus of bile duct with cholangitis, without mention of obstruction","K80.3",
"K80.31","Calculus of bile duct with cholangitis, with obstruction","K80.3",
"K80.40","Calculus of bile duct with cholecystitis, without mention of obstruction","K80.4",
"K80.41","Calculus of bile duct with cholecystitis, with obstruction","K80.4",
"K80.50","Calculus of bile duct without cholangitis or cholecystitis, without mention of obstruction","K80.5",
"K80.51","Calculus of bile duct without cholangitis or cholecystitis, with obstruction","K80.5",
"K80.80","Other cholelithiasis, without mention of obstruction","K80.8",
"K80.81","Other cholelithiasis, with obstruction","K80.8",
"L03.01","Cellulitis of finger","L03.0",
"L03.02","Cellulitis of toe","L03.0",
